id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_id
89,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",01-10-19 1:00,CO,44,53,49,NA
90,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",01-10-19 1:00,OZONE,16,63,33,NA
91,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",01-10-19 1:00,PM2.5,6,92,48,NA
92,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",01-10-19 1:00,PM10,26,115,63,NA
93,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",01-10-19 1:00,NO2,8,61,27,NA
94,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",01-10-19 1:00,CO,15,40,29,NA
95,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",01-10-19 1:00,OZONE,1,53,16,NA
96,India,Delhi,Delhi,"DTU, Delhi - CPCB",01-10-19 1:00,PM2.5,24,133,64,NA
97,India,Delhi,Delhi,"DTU, Delhi - CPCB",01-10-19 1:00,PM10,20,157,86,NA
98,India,Delhi,Delhi,"DTU, Delhi - CPCB",01-10-19 1:00,NO2,3,87,56,NA
99,India,Delhi,Delhi,"DTU, Delhi - CPCB",01-10-19 1:00,NH3,14,26,21,NA
100,India,Delhi,Delhi,"DTU, Delhi - CPCB",01-10-19 1:00,SO2,4,17,8,NA
55,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 2:00,PM2.5,22,130,58,NA
56,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 2:00,PM10,33,119,67,NA
57,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 2:00,NO2,24,50,35,NA
58,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 2:00,NH3,3,6,4,NA
59,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 2:00,SO2,13,20,17,NA
60,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 2:00,CO,25,70,56,NA
61,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 2:00,OZONE,3,76,17,NA
62,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 2:00,PM2.5,17,80,46,NA
63,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 2:00,PM10,17,135,78,NA
64,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 2:00,NO2,26,85,51,NA
65,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 2:00,NH3,4,8,5,NA
